,LastTradingPrice,ClosingPrice,LastUpdate,Day'sRange,Change*,Day'sValue(mn),OpeningPrice,Day'sVolume(Nos,AdjustedOpeningPrice,Day'sTrade(Nos,Yesterday'sClosingPrice,MarketCapitalization(mn),Paid-upCapital(mn),TypeofInstrument,Face/parValue,MarketLot,TotalNo,Sector,Reserve&SurpluswithoutOCI(mn),OtherComprehensiveIncome(OCI)(mn),MarketCategory,ElectronicShare
135,242.4,242.4,3:45PM,17.0,-12.9,27.48,258.3,111728.0,255.3,1300.0,255.3,1198.968,46.96,Equity,10.0,1.0,4696312.0,Food&Allied,-46.0,218.4,A,Y
136,167.2,167.2,3:45PM,22.0,-9.4,434.55,171.0,2520122.0,176.6,3173.0,176.6,18229.358,1032.24,Equity,10.0,1.0,103224000.0,ITSector,610.1,122.7,A,Y
137,5.2,5.2,3:45PM,0.2999999999999998,-0.3,8.65,5.5,1628824.0,5.5,375.0,5.5,2722.36,4949.75,Equity,10.0,1.0,494974556.0,Textile,702.0,7.3,Z,Y
138,17.1,17.1,3:45PM,0.5,-0.4,7.54,17.1,438939.0,17.5,274.0,17.5,3777.158,2158.0,Equity,10.0,1.0,215837622.0,Food&Allied,1081.7,20.5,A,Y
139,32.0,32.3,3:45PM,1.1000000000000014,-1.1,0.27,33.1,8153.0,33.1,28.0,33.1,2383.2,720.0,Equity,10.0,1.0,72000000.0,Pharmaceuticals&Chemicals,2117.8,42.3,B,Y
140,47.8,47.8,3:45PM,2.0,0.2,18.0,47.6,380692.0,47.6,564.0,47.6,1930.264,405.52,Equity,10.0,1.0,40551763.0,Insurance,111.6,30.7,A,Y
141,20.6,20.6,3:45PM,1.8000000000000007,-1.7,96.05,22.1,4539573.0,22.3,1969.0,22.3,3829.574,1717.3,Equity,10.0,1.0,171729772.0,Engineering,633.8,9.5,B,Y
142,359.8,359.8,3:45PM,6.199999999999989,-0.8,16.03,360.5,44537.0,360.6,411.0,360.6,486918.188,13503.0,Equity,10.0,1.0,1350300022.0,Telecommunication,31219.8,328.5,A,Y
143,64.9,64.9,3:45PM,1.6000000000000085,0.5,136.38,65.0,2117541.0,64.4,1474.0,64.4,25573.619,3971.06,Equity,10.0,1.0,397105891.0,Engineering,1347.2,59.0,A,Y
144,106.2,106.2,3:45PM,5.0,-3.5,4.77,108.6,44555.0,109.7,249.0,109.7,979.412,89.28,Equity,10.0,1.0,8928091.0,Miscellaneous,985.8,125.1,A,Y
145,16.9,17.0,3:45PM,0.3000000000000007,0.1,5.78,16.9,340139.0,16.8,124.0,16.8,3064.285,1823.98,MutualFund,10.0,1.0,182397902.0,MutualFunds,1084.9,17.0,A,Y
146,7.9,7.9,3:45PM,0.09999999999999964,0.1,4.76,7.9,600765.0,7.8,57.0,7.8,1170.0,1500.0,MutualFund,10.0,1.0,150000000.0,MutualFunds,254.0,7.9,A,Y
147,100.0,100.0,3:45PM,2.3000000000000114,-0.2,10.01,101.9,100062.0,100.2,333.0,100.2,10038.857,1001.88,Equity,10.0,1.0,100188194.0,Insurance,5354.2,52.4,A,Y
148,23.8,23.8,3:45PM,0.8000000000000007,0.5,54.45,23.5,2278672.0,23.3,1151.0,23.3,3659.698,1570.69,Equity,10.0,1.0,157068585.0,FinancialInstitutions,1556.8,15.1,A,Y
149,51.1,51.1,3:45PM,3.299999999999997,-2.2,9.4,53.8,181133.0,53.3,482.0,53.3,1012.7,190.0,Equity,10.0,1.0,19000000.0,Paper&Printing,305.1,80.1,B,Y
150,285.8,285.8,3:45PM,7.7999999999999545,4.1,2.34,281.7,8214.0,281.7,114.0,281.7,15917.061,565.04,Equity,10.0,1.0,56503590.0,Cement,3283.0,170.3,A,Y
151,29.2,29.2,3:45PM,2.8999999999999986,-2.2,79.82,31.0,2653728.0,31.4,1124.0,31.4,2859.2,910.57,Equity,10.0,1.0,91057312.0,Textile,1761.6,21.8,A,Y
152,64.0,64.7,3:45PM,6.599999999999994,-3.9,3.01,67.8,47153.0,67.9,137.0,67.9,1717.87,253.0,Equity,10.0,1.0,25300000.0,Textile,829.3,78.9,A,Y
153,45.6,45.5,3:45PM,0.5,-0.2,2.06,46.0,45229.0,45.8,98.0,45.8,2564.8,560.0,Equity,10.0,1.0,56000000.0,Textile,1147.6,46.5,A,Y
154,268.2,268.3,3:45PM,3.0,-0.6,1.88,267.0,6997.0,268.8,57.0,268.8,8398.287,312.44,Equity,10.0,1.0,31243627.0,Pharmaceuticals&Chemicals,1464.5,273.1,A,Y
155,0,19.7,3:45PM,0,0,0,0,0,19.7,0,19.7,2240.622,1137.37,Equity,10.0,1.0,113737140.0,Pharmaceuticals&Chemicals,380.2,23.4,A,Y
156,121.9,121.9,3:45PM,5.400000000000006,-2.2,18.05,127.0,145654.0,124.1,482.0,124.1,100001.707,8058.16,Equity,10.0,1.0,805815527.0,FinancialInstitutions,27795.7,99.7,A,Y
157,6.9,6.9,3:45PM,0.20000000000000018,0.1,1.66,6.8,240397.0,6.8,74.0,6.8,680.0,1000.0,MutualFund,10.0,1.0,100000000.0,MutualFunds,-537.6,6.9,A,Y
158,9.1,9.1,3:45PM,0.09999999999999964,0.1,0.39,9.0,42530.0,9.0,14.0,9.0,883.359,982.0,MutualFund,10.0,1.0,98151000.0,MutualFunds,-240.8,9.2,A,Y
159,10.9,10.9,3:45PM,0.5,0.0,8.49,11.1,769442.0,10.9,186.0,10.9,545.0,500.0,MutualFund,10.0,1.0,50000000.0,MutualFunds,-306.5,14.1,A,Y
160,7.4,7.4,3:45PM,0.09999999999999964,0.1,0.96,7.4,129238.0,7.3,34.0,7.3,547.5,750.0,MutualFund,10.0,1.0,75000000.0,MutualFunds,-425.1,7.7,A,Y
161,5.8,5.8,3:45PM,0.40000000000000036,0.3,20.67,5.6,3525198.0,5.5,752.0,5.5,3655.863,6647.02,Equity,10.0,1.0,664702300.0,Bank,-18306.3,4.0,Z,Y
162,8.1,8.1,3:45PM,0.20000000000000107,0.0,0.34,8.2,41552.0,8.1,30.0,8.1,810.0,1000.0,MutualFund,10.0,1.0,100000000.0,MutualFunds,-381.1,8.5,A,Y
163,63.1,63.1,3:45PM,1.6000000000000014,1.6,53.34,61.9,845145.0,61.5,1051.0,61.5,24348.054,3959.03,Equity,10.0,1.0,395903319.0,FinancialInstitutions,10018.8,54.1,A,Y
164,0,49.8,3:45PM,0,0,0,0,0,49.8,0,49.8,12596.931,2529.5,Equity,10.0,1.0,252950412.0,Engineering,6333.4,56.9,A,Y
165,21.2,21.2,3:45PM,0.8000000000000007,-0.1,904.47,21.5,42116213.0,21.3,7192.0,21.3,36228.479,17008.7,Equity,10.0,1.0,1700867561.0,Bank,10815.3,11.4,A,Y
166,6.3,6.3,3:45PM,0.20000000000000018,0.3,13.72,6.1,2191818.0,6.0,250.0,6.0,1093.008,1821.67,MutualFund,10.0,1.0,182167965.0,MutualFunds,172.3,6.2,A,Y
167,6.7,6.7,3:45PM,0.09999999999999964,0.0,0.95,6.8,140779.0,6.7,46.0,6.7,670.0,1000.0,MutualFund,10.0,1.0,100000000.0,MutualFunds,-426.2,6.7,A,Y
168,7.1,7.1,3:45PM,0.5,0.4,7.05,6.8,1000284.0,6.7,310.0,6.7,1486.129,2218.1,Equity,10.0,1.0,221810246.0,FinancialInstitutions,-27423.3,4.2,B,Y
169,24.1,24.1,3:45PM,3.8999999999999986,-1.0,1.31,27.4,53439.0,25.1,112.0,25.1,193.27,77.0,Equity,10.0,1.0,7700000.0,Pharmaceuticals&Chemicals,-32.2,20.8,Z,Y
170,115.7,115.7,3:45PM,12.5,-6.6,14.75,122.0,125724.0,122.3,424.0,122.3,5779.121,472.54,Equity,10.0,1.0,47253649.0,Miscellaneous,1630.7,118.4,N,Y
171,28.5,28.5,3:45PM,1.6000000000000014,-1.0,5.79,29.4,200023.0,29.5,302.0,29.5,923.976,313.21,Equity,10.0,1.0,31321226.0,ITSector,21.9,31.3,B,Y
172,20.5,20.5,3:45PM,0.8000000000000007,-0.9,12.08,21.2,583034.0,21.4,356.0,21.4,1946.464,909.56,Equity,10.0,1.0,90956250.0,Fuel&Power,154.3,25.6,A,Y
173,41.7,41.7,3:45PM,1.1000000000000014,0.3,41.99,41.8,998841.0,41.4,619.0,41.4,15363.19,3710.92,Equity,10.0,1.0,371091547.0,FinancialInstitutions,1949.9,22.8,A,Y
174,32.5,32.5,3:45PM,1.8999999999999986,-0.2,40.93,32.1,1231269.0,32.7,752.0,32.7,52646.695,16100.0,Equity,10.0,1.0,1609990668.0,Bank,46509.8,28.1,A,Y
175,28.5,28.5,3:45PM,1.1000000000000014,0.5,66.01,28.3,2300457.0,28.0,1218.0,28.0,3929.147,1403.27,Equity,10.0,1.0,140326670.0,FinancialInstitutions,700.0,16.3,A,Y
176,65.1,65.1,3:45PM,1.4000000000000057,0.4,15.99,64.5,245855.0,64.7,522.0,64.7,2663.389,411.65,Equity,10.0,1.0,41165215.0,Insurance,183.2,70.6,A,Y
177,37.9,37.8,3:45PM,1.2999999999999972,1.0,3.73,37.6,98144.0,36.9,184.0,36.9,402.948,109.2,Equity,10.0,1.0,10920003.0,ITSector,28.7,46.7,B,Y
178,33.4,33.4,3:45PM,1.7000000000000028,-0.3,3.88,33.0,116387.0,33.7,136.0,33.7,4333.573,1285.93,Equity,10.0,1.0,128592664.0,ITSector,369.9,32.8,A,Y
179,25.9,25.9,3:45PM,0.6999999999999993,0.1,93.09,26.4,3571895.0,25.8,1209.0,25.8,19330.022,7492.26,Equity,10.0,1.0,749225650.0,Bank,16531.6,18.6,A,Y
180,174.9,174.7,3:45PM,2.1999999999999886,0.7,3.98,174.2,22833.0,174.2,70.0,174.2,19235.965,1104.25,Equity,10.0,1.0,110424600.0,Fuel&Power,17970.0,166.6,A,Y
181,44.9,44.9,3:45PM,1.7999999999999972,-0.7,8.66,45.7,193328.0,45.6,306.0,45.6,2024.549,443.98,Equity,10.0,1.0,44398012.0,Insurance,150.5,30.0,A,Y
182,326.3,326.3,3:45PM,19.0,-18.4,19.84,341.0,59977.0,344.7,679.0,344.7,7617.87,221.0,Equity,10.0,1.0,22100000.0,Pharmaceuticals&Chemicals,675.9,396.5,A,Y
183,105.1,105.1,3:45PM,12.0,-5.5,0.86,100.0,8412.0,110.6,126.0,110.6,188.02,17.0,Equity,10.0,1.0,1700000.0,Jute,-267.7,160.0,Z,Y
184,42.2,42.2,3:45PM,1.2000000000000028,-0.9,12.25,43.2,289310.0,43.1,375.0,43.1,1934.161,448.76,Equity,10.0,1.0,44876114.0,Insurance,322.8,26.7,A,Y
185,283.0,276.6,3:45PM,28.0,0.2,3.22,298.0,11803.0,282.8,98.0,282.8,1386.435,49.03,Equity,10.0,1.0,4902530.0,Engineering,327.4,320.6,B,Y
186,9.7,9.7,3:45PM,0.7000000000000011,-0.4,3.15,10.0,318598.0,10.1,198.0,10.1,990.607,980.8,Equity,10.0,1.0,98079878.0,Miscellaneous,250.3,15.2,B,Y
187,0,70.9,3:45PM,0,0,0,0,0,70.9,0,70.9,5046.829,711.82,Equity,10.0,1.0,71182361.0,Engineering,822.7,76.0,A,Y
188,7.1,7.1,3:45PM,0.40000000000000036,-0.2,25.6,7.3,3571895.0,7.3,827.0,7.3,8046.916,11023.2,Equity,10.0,1.0,1102317325.0,Pharmaceuticals&Chemicals,-851.9,4.2,B,Y
189,0,478.7,3:45PM,0,0,0,0,0,478.7,0,478.7,10627.499,222.01,Equity,10.0,1.0,22200750.0,Pharmaceuticals&Chemicals,792.8,471.1,A,Y
190,34.1,34.1,3:45PM,0.6000000000000014,-0.2,11.69,34.3,342115.0,34.3,525.0,34.3,13631.272,3974.13,Equity,10.0,1.0,397413179.0,Fuel&Power,5801.7,47.1,A,Y
191,9.1,9.1,3:45PM,0.40000000000000036,-0.4,2.91,9.5,317439.0,9.5,175.0,9.5,693.88,730.4,Equity,10.0,1.0,73040000.0,Paper&Printing,139.8,15.4,B,Y
192,32.7,32.7,3:45PM,3.099999999999998,-1.6,109.31,33.0,3388177.0,34.3,1363.0,34.3,3989.268,1163.05,Equity,10.0,1.0,116305200.0,Textile,735.1,13.1,A,Y
193,41.7,41.7,3:45PM,1.5,0.0,244.85,42.0,5826340.0,41.7,2358.0,41.7,22469.571,5388.39,Equity,10.0,1.0,538838623.0,FinancialInstitutions,3614.9,27.7,A,Y
194,59.5,59.5,3:45PM,2.5,-0.9,3.76,60.4,62697.0,60.4,165.0,60.4,790.031,130.8,Equity,10.0,1.0,13079980.0,TanneryIndustries,5.7,70.7,B,Y
195,80.1,80.1,3:45PM,3.700000000000003,-2.5,231.93,83.1,2867437.0,82.6,2823.0,82.6,95929.451,11613.7,Equity,10.0,1.0,1161373500.0,Cement,5675.3,49.1,A,Y
196,779.3,775.0,3:45PM,6.399999999999977,-10.3,0.32,773.2,412.0,789.6,26.0,789.6,1185.916,15.02,Equity,10.0,1.0,1501920.0,Pharmaceuticals&Chemicals,1890.9,635.6,A,Y
197,1404.3,1404.3,3:45PM,34.0,-23.5,13.89,1425.0,9852.0,1427.8,375.0,1427.8,21728.689,152.18,Equity,10.0,1.0,15218300.0,Fuel&Power,5268.7,1315.1,A,Y
198,39.6,39.6,3:45PM,2.0,-1.6,45.8,41.0,1158991.0,41.2,921.0,41.2,3502.0,850.0,Equity,10.0,1.0,85000000.0,Food&Allied,151.1,0,N,Y
199,39.5,39.5,3:45PM,1.1000000000000014,-0.8,28.57,39.4,722401.0,40.3,494.0,40.3,5853.299,1452.43,Equity,10.0,1.0,145243144.0,Fuel&Power,1990.9,0,N,Y
200,9.1,9.1,3:45PM,0.1999999999999993,-0.1,40.61,9.2,4453400.0,9.2,608.0,9.2,2861.939,3110.8,MutualFund,10.0,1.0,311080332.0,MutualFunds,185.1,6.6,A,Y
201,0,26.1,3:45PM,0,0,0,0,0,26.1,0,26.1,6217.869,2382.33,Equity,10.0,1.0,238232539.0,Textile,1954.8,33.8,B,Y
202,33.0,33.0,3:45PM,1.6000000000000014,-1.7,119.85,33.9,3614391.0,34.7,1057.0,34.7,6717.92,1936.0,Equity,10.0,1.0,193600000.0,Textile,4869.9,36.6,A,Y
203,2300.0,2300.5,3:45PM,34.6,-1.0,8.95,2303.0,3893.0,2301.0,178.0,2301.0,72481.5,315.0,Equity,10.0,1.0,31500000.0,Pharmaceuticals&Chemicals,1094.4,2229.2,A,Y
204,59.8,59.8,3:45PM,4.799999999999997,-3.3,32.11,63.8,529517.0,63.1,902.0,63.1,6151.619,974.9,Equity,10.0,1.0,97490000.0,Textile,2909.9,68.3,A,Y
205,8.2,8.3,3:45PM,0.20000000000000107,0.0,4.59,8.3,550861.0,8.2,125.0,8.2,820.0,1000.0,MutualFund,10.0,1.0,100000000.0,MutualFunds,188.9,8.3,A,Y
206,15.5,15.2,3:45PM,1.5,0.2,0.14,16.5,9375.0,15.3,28.0,15.3,244.8,160.0,Equity,10.0,1.0,16000000.0,Food&Allied,-1112.7,20.9,Z,Y
207,75.1,75.1,3:45PM,2.0,-0.7,1.0,77.0,13311.0,75.8,73.0,75.8,2068.382,272.87,Equity,10.0,1.0,27287360.0,Cement,577.8,92.4,A,Y
208,73.6,73.6,3:45PM,2.0999999999999943,-1.7,9.15,75.0,123502.0,75.3,302.0,75.3,2902.83,385.5,Equity,10.0,1.0,38550200.0,Insurance,0.0,0,A,Y
209,19.6,19.6,3:45PM,1.3000000000000007,-0.3,0.19,20.8,9766.0,19.9,39.0,19.9,238.8,120.0,Equity,10.0,1.0,12000000.0,Food&Allied,-170.6,28.6,Z,Y
210,20.0,20.0,3:45PM,0.8000000000000007,0.5,489.49,19.9,24390412.0,19.5,4960.0,19.5,20147.732,10332.2,Equity,10.0,1.0,1033217028.0,Bank,11819.2,13.6,A,Y
211,49.8,48.4,3:45PM,3.1000000000000014,0.3,4.95,51.0,102280.0,49.5,139.0,49.5,2133.22,430.95,Equity,10.0,1.0,43095360.0,Insurance,315.4,32.5,A,Y
212,21.0,21.0,3:45PM,1.7999999999999972,-1.4,12.72,22.4,602460.0,22.4,471.0,22.4,1382.041,616.98,Equity,10.0,1.0,61698275.0,Textile,297.0,30.6,B,Y
213,24.8,24.8,3:45PM,2.0,-0.9,19.49,25.2,791588.0,25.7,381.0,25.7,2595.53,1009.93,Equity,10.0,1.0,100993374.0,Textile,405.2,22.6,B,Y
214,64.0,63.6,3:45PM,3.0,-1.7,0.99,65.7,15232.0,65.7,71.0,65.7,9756.45,1485.0,Equity,10.0,1.0,148500000.0,Cement,2445.6,85.1,A,Y
215,18.4,18.4,3:45PM,0.8000000000000007,0.6,13.8,18.0,751055.0,17.8,520.0,17.8,2535.927,1424.68,Equity,10.0,1.0,142467829.0,FinancialInstitutions,200.4,16.6,B,Y
216,27.0,27.0,3:45PM,2.3999999999999986,-1.1,3.99,29.4,146237.0,28.1,283.0,28.1,989.627,352.18,Equity,10.0,1.0,35218057.0,Miscellaneous,772.2,29.2,B,Y
217,64.3,64.3,3:45PM,1.4000000000000057,-0.4,5.59,65.4,86436.0,64.7,285.0,64.7,7813.919,1207.72,Equity,10.0,1.0,120771547.0,Engineering,2846.0,89.6,N,Y
218,11.6,11.6,3:45PM,1.0999999999999996,-1.2,4.82,12.3,406261.0,12.8,308.0,12.8,415.887,324.91,Equity,10.0,1.0,32491162.0,Textile,316.8,14.0,Z,Y
219,87.3,87.3,3:45PM,4.900000000000006,-3.7,24.46,91.9,278077.0,91.0,790.0,91.0,28824.434,3167.52,Equity,10.0,1.0,316752027.0,Fuel&Power,6431.9,102.1,A,Y
220,25.0,25.0,3:45PM,0.9000000000000021,-1.0,70.26,25.8,2759758.0,26.0,604.0,26.0,6043.286,2324.34,Equity,10.0,1.0,232434090.0,Textile,3295.1,29.7,A,Y
221,534.1,534.1,3:45PM,27.899999999999977,-16.0,3.63,550.1,6726.0,550.1,223.0,550.1,1503.093,27.32,Equity,10.0,1.0,2732400.0,Engineering,8.2,745.5,A,Y
222,112.7,112.7,3:45PM,3.799999999999997,-0.9,8.31,113.7,73547.0,113.6,428.0,113.6,4285.482,377.24,Equity,10.0,1.0,37724317.0,CeramicsSector,1760.6,154.2,A,Y
223,17.7,17.7,3:45PM,1.5,-0.5,5.48,18.6,304436.0,18.2,287.0,18.2,2093.0,1150.0,Equity,10.0,1.0,115000000.0,Textile,1618.9,26.7,Z,Y
224,138.4,138.9,3:45PM,15.400000000000006,-15.3,3.04,150.7,21557.0,153.7,176.0,153.7,1443.062,93.89,Equity,10.0,1.0,9388825.0,Paper&Printing,350.0,0,Z,Y
225,194.5,194.4,3:45PM,3.8000000000000114,-1.0,4.34,198.0,22087.0,195.5,125.0,195.5,21156.249,1082.16,Equity,10.0,1.0,108216108.0,Fuel&Power,14907.5,195.1,A,Y
226,21.3,21.3,3:45PM,1.5,1.5,28.7,20.0,1368301.0,19.8,484.0,19.8,16087.414,8124.96,Equity,10.0,1.0,812495660.0,Bank,7790.9,24.1,A,Y
227,40.6,40.6,3:45PM,1.6000000000000014,-0.9,2.5,41.5,61168.0,41.5,144.0,41.5,2836.947,683.6,Equity,10.0,1.0,68360160.0,Engineering,408.4,50.9,A,Y
228,210.5,210.7,3:45PM,4.900000000000006,0.3,1.55,214.9,7352.0,210.2,69.0,210.2,22811.32,1085.22,Equity,10.0,1.0,108521981.0,Insurance,0.0,4171.75,A,Y
229,33.5,32.9,3:45PM,0.8999999999999986,1.2,0.89,32.6,26791.0,32.3,62.0,32.3,2213.474,685.29,Equity,10.0,1.0,68528592.0,Engineering,1757.3,38.5,A,Y
230,8.6,8.6,3:45PM,0.5,0.3,226.37,8.4,26370259.0,8.3,3685.0,8.3,25451.275,30664.2,Equity,10.0,1.0,3066418639.0,Bank,18040.3,7.3,A,Y
231,17.5,17.5,3:45PM,0.7999999999999972,0.2,206.45,17.5,11765045.0,17.3,2512.0,17.3,17591.868,10168.7,Equity,10.0,1.0,1016870967.0,Bank,10784.9,13.4,A,Y
232,8.9,8.9,3:45PM,0.1999999999999993,0.1,3.16,8.9,354975.0,8.8,82.0,8.8,954.83,1085.03,MutualFund,10.0,1.0,108503401.0,MutualFunds,196.5,6.4,A,Y
233,36.0,37.3,3:45PM,3.700000000000003,-0.9,24.28,39.7,650245.0,36.9,86.0,36.9,2897.855,785.33,Equity,10.0,1.0,78532650.0,Textile,994.6,35.2,A,Y
234,18.1,18.1,3:45PM,1.6000000000000014,-1.1,24.94,19.4,1348448.0,19.2,944.0,19.2,1774.79,924.37,Equity,10.0,1.0,92436955.0,Miscellaneous,167.7,31.7,A,Y
235,60.6,60.6,3:45PM,3.3000000000000043,-1.3,74.7,61.9,1206899.0,61.9,1429.0,61.9,7244.231,1170.31,Equity,10.0,1.0,117031200.0,FinancialInstitutions,926.2,30.3,A,Y
236,55.1,55.1,3:45PM,3.5,-1.3,7.93,56.2,142590.0,56.4,221.0,56.4,2267.711,402.08,Equity,10.0,1.0,40207640.0,Insurance,692.9,48.7,A,Y
237,13.9,13.9,3:45PM,0.29999999999999893,0.3,7.01,13.8,502666.0,13.6,171.0,13.6,684.54,503.0,MutualFund,10.0,1.0,50333800.0,MutualFunds,257.1,11.6,A,Y
238,257.0,257.7,3:45PM,18.0,-10.9,2.06,274.9,7763.0,267.9,122.0,267.9,573.842,21.42,Equity,10.0,1.0,2142000.0,Jute,153.5,447.6,A,Y
239,52.2,52.2,3:45PM,1.6000000000000014,-1.1,6.82,53.1,131105.0,53.3,184.0,53.3,2273.757,426.6,Equity,10.0,1.0,42659611.0,Insurance,436.6,31.7,A,Y
240,51.7,51.7,3:45PM,1.1000000000000014,-0.2,14.61,52.0,281725.0,51.9,468.0,51.9,3787.853,730.0,Equity,10.0,1.0,72983674.0,Engineering,810.2,64.7,A,Y
241,35.6,35.6,3:45PM,3.799999999999997,-2.6,593.87,38.6,16018115.0,38.2,6334.0,38.2,28177.957,7376.43,Equity,10.0,1.0,737642847.0,Bank,2414.5,12.0,A,Y
242,593.6,593.6,3:45PM,14.700000000000045,12.7,6.71,580.3,11344.0,580.9,154.0,580.9,3833.94,66.0,Equity,10.0,1.0,6600000.0,Food&Allied,704.6,575.8,A,Y
243,84.5,84.5,3:45PM,6.400000000000006,-3.0,10.22,86.1,119447.0,87.5,428.0,87.5,3046.908,348.22,Equity,10.0,1.0,34821803.0,Engineering,5203.1,110.5,A,Y
244,7.5,7.5,3:45PM,0.20000000000000018,0.0,2.02,7.5,272799.0,7.5,167.0,7.5,919.688,1226.25,Equity,10.0,1.0,122625030.0,Textile,25.1,7.8,A,Y
245,0,11.0,3:45PM,0,0,0,0,0,11.0,0,11.0,1864.797,1695.27,Equity,10.0,1.0,169526982.0,Engineering,674.4,14.3,B,Y
246,16.8,16.8,3:45PM,1.0,0.0,2.42,17.7,143548.0,16.8,112.0,16.8,1127.024,670.85,Equity,10.0,1.0,67084781.0,Engineering,220.9,26.8,A,Y
247,157.3,157.3,3:45PM,3.0,-6.4,18.54,160.0,117185.0,163.7,713.0,163.7,32729.996,1999.39,Equity,10.0,1.0,199938886.0,Food&Allied,6242.2,196.8,A,Y
248,16.1,16.1,3:45PM,0.20000000000000107,1.4,858.62,16.1,53333018.0,14.7,2736.0,14.7,13730.395,9340.4,Equity,10.0,1.0,934040456.0,Bank,7757.2,10.3,A,Y
249,89.3,89.3,3:45PM,7.0,-4.8,51.4,94.8,557198.0,94.1,1051.0,94.1,1915.853,203.6,Equity,10.0,1.0,20359760.0,Pharmaceuticals&Chemicals,55.3,91.1,A,Y
250,106.2,106.2,3:45PM,7.6000000000000085,-1.2,382.66,107.9,3570866.0,107.4,3819.0,107.4,25131.6,2340.0,Equity,10.0,1.0,234000000.0,Pharmaceuticals&Chemicals,7552.2,94.0,A,Y
251,46.7,46.7,3:45PM,2.8999999999999986,-2.0,4.24,49.4,89741.0,48.7,182.0,48.7,1893.456,388.8,Equity,10.0,1.0,38880000.0,Insurance,0.0,0,B,Y
252,216.8,216.8,3:45PM,2.5,-2.0,7.67,217.0,35288.0,218.8,161.0,218.8,21493.326,982.33,Equity,10.0,1.0,98232750.0,Fuel&Power,14503.0,213.4,A,Y
253,130.6,131.2,3:45PM,13.5,-12.8,6.51,143.5,48531.0,143.4,360.0,143.4,1498.473,104.5,Equity,10.0,1.0,10449600.0,Paper&Printing,244.8,0,Z,Y
254,75.5,75.5,3:45PM,1.0,0.5,7.76,75.4,102967.0,75.0,295.0,75.0,3049.872,406.65,Equity,10.0,1.0,40664966.0,Insurance,495.5,118.9,A,Y
255,11.1,11.1,3:45PM,0.7000000000000011,-0.7,25.66,11.8,2283291.0,11.8,685.0,11.8,2144.447,1817.33,Equity,10.0,1.0,181732815.0,Textile,602.5,19.1,A,Y
256,34.4,34.4,3:45PM,1.7000000000000028,-0.3,69.15,34.8,1981147.0,34.7,1163.0,34.7,4117.738,1186.67,Equity,10.0,1.0,118666800.0,Travel&Leisure,1425.1,17.2,A,Y
257,48.0,48.0,3:45PM,1.1000000000000014,-0.7,8.64,48.1,179600.0,48.7,358.0,48.7,2249.94,462.0,Equity,10.0,1.0,46200000.0,Insurance,659.5,34.7,A,Y
258,9.8,9.8,3:45PM,1.0,0.2,25.08,9.8,2541387.0,9.6,420.0,9.6,576.0,600.0,MutualFund,10.0,1.0,60000000.0,MutualFunds,-322.2,9.6,A,Y
259,490.4,490.4,3:45PM,30.899999999999977,-17.8,21.52,510.0,43067.0,508.2,724.0,508.2,1585.584,31.2,Equity,10.0,1.0,3120000.0,Pharmaceuticals&Chemicals,226.4,634.8,A,Y
260,56.5,56.5,3:45PM,0.6999999999999957,-0.6,2.7,56.4,47760.0,57.1,113.0,57.1,2303.504,403.42,Equity,10.0,1.0,40341572.0,Insurance,1173.0,32.6,A,Y
261,27.9,27.9,3:45PM,1.0,0.8,16.72,27.4,600700.0,27.1,260.0,27.1,4013.563,1481.02,Equity,10.0,1.0,148101961.0,FinancialInstitutions,1575.7,22.7,A,Y
262,6.1,6.1,3:45PM,0.1999999999999993,0.2,10.76,6.0,1783320.0,5.9,240.0,5.9,1663.17,2818.93,MutualFund,10.0,1.0,281893264.0,MutualFunds,405.1,6.1,A,Y
263,112.4,112.4,3:45PM,3.200000000000003,-1.6,10.9,114.1,96359.0,114.0,370.0,114.0,8775.57,769.79,Equity,10.0,1.0,76978687.0,Insurance,2597.9,59.7,A,Y
264,0,3.0,3:45PM,0,0,0,0,0,3.0,0,3.0,856.322,2854.41,Equity,10.0,1.0,285440597.0,FinancialInstitutions,-762.6,4.6,Z,Y
265,5.9,5.9,3:45PM,0.2999999999999998,0.1,28.68,5.8,4870284.0,5.8,280.0,5.8,1734.716,2991.0,MutualFund,10.0,1.0,299089027.0,MutualFunds,381.4,6.0,A,Y
266,82.2,82.1,3:45PM,3.9000000000000057,-2.6,4.77,84.9,57923.0,84.8,337.0,84.8,5124.325,604.28,Equity,10.0,1.0,60428358.0,Insurance,0.0,97.3,A,Y
267,54.2,54.2,3:45PM,2.3999999999999986,-1.6,80.88,56.0,1477887.0,55.8,1200.0,55.8,39770.166,7127.26,Equity,10.0,1.0,712726991.0,Fuel&Power,19104.1,50.4,A,Y
268,85.6,85.6,3:45PM,3.299999999999997,0.6,5.92,85.0,68199.0,85.0,141.0,85.0,5575.178,655.9,Equity,10.0,1.0,65590329.0,Insurance,2787.4,46.6,A,Y
269,88.0,88.1,3:45PM,4.099999999999994,-2.9,11.66,91.1,131689.0,90.9,257.0,90.9,2790.912,307.03,Equity,10.0,1.0,30703102.0,Insurance,0.0,0,A,Y
270,17.5,17.5,3:45PM,1.1000000000000014,1.2,540.23,16.7,31044885.0,16.3,4000.0,16.3,17002.053,10430.7,Equity,10.0,1.0,1043070727.0,Bank,9969.2,13.5,A,Y
